Glass Transition Temperature (K),Shear Modulus (MPa),Density (g/cm^3),Density Measurement Precision (no. sig figs),Melt or Burn?,Level of Cross-Linking,Elongation
476,1278.8,1.2,2,melt,none,moderate
437,1599.1,1.2,2,burn,high,low
431,2391.3,0.936,3,melt,none,moderate
390,1045.7,1.05,3,melt,none,moderate
387,1222.9,2,1,burn,high,low
375,1307.7,2,1,burn,high,low
365,1430,1.184,4,melt,none,moderate
367,1828.7,2.2,2,burn,high,low
365,500.1,2.1,2,burn,high,low
365,1069.4,1.38,3,melt,none,moderate
339,799.7,1.14,3,burn,high,low
335,942.9,1.14,3,burn,high,low
326,776.6,1.14,3,burn,high,low
327,872.5,1.14,3,burn,high,low
325,967.6,1.14,3,burn,high,low
310,850.2,1.14,3,burn,high,low
315,673.6,0.95,2,melt,none,moderate
318,895.4,1.77,3,burn,high,low
294,1190.2,1.16,3,burn,high,low
294,895.4,1.21,3,burn,high,low
309,756.8,1.14,3,burn,high,low
280,591.8,0.92,2,melt,none,moderate
218,401.5,2.2,2,melt,none,moderate
164,156.1,0.93,2,melt,none,moderate
312,298.1,1.45,3,melt,none,moderate
294,401.5,0.601,3,burn,high,low
300,20.5,1.27,3,melt,none,moderate
293,4.1,1.02,3,melt,moderate,high
273,1.5,0.9,1,melt,low,high
252,2,1.27,3,melt,none,moderate
235,2.9,0.92,2,melt,low,high
227,1.9,1,1,melt,moderate,high
240,1.5,0.92,2,burn,low,high
238,1.3,0.95,2,melt,low,high
227,1,0.93,2,melt,low,high
233,0.8,1,1,melt,low,high
225,0.6,0.91,2,melt,low,high
253,1.4,1.08,3,melt,moderate,high
245,0.7,1.24,3,melt,moderate,high
244,0.5,0.91,2,melt,low,high
378,82.7,1.04,3,melt,none,moderate
378,82.7,1.22,3,melt,none,moderate
378,96.5,1.05,3,melt,none,moderate
372,68.9,1.15,3,melt,none,moderate
